"State","District","Crop","Season","Yield-2015-16","Yield-2016-17","Yield-2017-18"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Summer","700.00","700.00","900.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Total","794.00","801.00","912.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Kharif","2054.00","2397.00","2238.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Rabi","1109.00","828.00","700.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Summer","700.00","700.00","1233.00"
"Odisha","Gajapati","Nutri/Coarse Cereals","Total","2048.00","2392.00","2236.00"
"Odisha","Gajapati","Cereals","Kharif","2054.00","2384.00","2235.00"
"Odisha","Gajapati","Cereals","Rabi","973.00","2491.00","2086.00"
"Odisha","Gajapati","Cereals","Summer","996.00","2223.00","2207.00"
"Odisha","Gajapati","Cereals","Total","1295.00","2464.00","2123.00"
"Odisha","Gajapati","Urad","Rabi","153.00","272.00","275.00"
"Odisha","Gajapati","Urad","Total","153.00","272.00","275.00"
"Odisha","Gajapati","Moong","Rabi","204.00","314.00","388.00"
"Odisha","Gajapati","Moong","Total","204.00","314.00","388.00"
"Odisha","Gajapati","Other Pulses","Rabi","190.00","279.00","280.00"
"Odisha","Gajapati","Other Pulses","Total","190.00","279.00","280.00"
"Odisha","Gajapati","Total Pulses","Total","175.00","295.00","331.00"
"Odisha","Gajapati","Total Food Grains","Kharif","2054.00","2384.00","2235.00"
"Odisha","Gajapati","Total Food Grains","Rabi","890.00","2182.00","1836.00"
"Odisha","Gajapati","Total Food Grains","Summer","996.00","2223.00","2207.00"
"Odisha","Gajapati","Total Food Grains","Total","1213.00","2223.00","1924.00"
"Odisha","Ganjam","Rice","Kharif","","3000.00","1625.00"
"Odisha","Ganjam","Rice","Rabi","1921.00","2851.00","1575.00"
"Odisha","Ganjam","Rice","Summer","","2429.00","2250.00"
"Odisha","Ganjam","Rice","Total","1921.00","2851.00","1575.00"
"Odisha","Ganjam","Maize","Kharif","1980.00","2370.00","2453.00"
"Odisha","Ganjam","Maize","Rabi","2138.00","",""
"Odisha","Ganjam","Maize","Summer","2617.00","1238.00","3100.00"
"Odisha","Ganjam","Maize","Total","2001.00","2240.00","2458.00"
"Odisha","Ganjam","Ragi","Kharif","948.00","992.00","1093.00"
"Odisha","Ganjam","Ragi","Rabi","1452.00","1636.00","965.00"
"Odisha","Ganjam","Ragi","Summer","1108.00","707.00","833.00"
"Odisha","Ganjam","Ragi","Total","975.00","995.00","1079.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Kharif","948.00","992.00","1093.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Rabi","1452.00","1636.00","965.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Summer","1108.00","707.00","833.00"
"Odisha","Ganjam","Shree Anna /Nutri Cereals","Total","975.00","995.00","1079.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Kharif","1390.00","1386.00","1792.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Rabi","1600.00","1636.00","965.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Summer","1373.00","1127.00","1400.00"
"Odisha","Ganjam","Nutri/Coarse Cereals","Total","1392.00","1376.00","1759.00"
"Odisha","Ganjam","Cereals","Kharif","1390.00","1430.00","1769.00"
"Odisha","Ganjam","Cereals","Rabi","1921.00","2851.00","1575.00"
"Odisha","Ganjam","Cereals","Summer","1373.00","1792.00","2108.00"
"Odisha","Ganjam","Cereals","Total","1916.00","2842.00","1576.00"
"Odisha","Ganjam","Urad","Kharif","234.00","896.00","281.00"
"Odisha","Ganjam","Urad","Rabi","216.00","286.00","233.00"
"Odisha","Ganjam","Urad","Summer","","260.00",""
"Odisha","Ganjam","Urad","Total","216.00","288.00","233.00"
"Odisha","Ganjam","Moong","Kharif","","2067.00",""
"Odisha","Ganjam","Moong","Rabi","215.00","299.00","243.00"
"Odisha","Ganjam","Moong","Summer","187.00","265.00",""
"Odisha","Ganjam","Moong","Total","211.00","299.00","243.00"
"Odisha","Ganjam","Other Pulses","Rabi","244.00","255.00","211.00"
"Odisha","Ganjam","Other Pulses","Total","244.00","255.00","211.00"
"Odisha","Ganjam","Total Pulses","Total","212.00","298.00","241.00"
"Odisha","Ganjam","Total Food Grains","Kharif","1357.00","1422.00","1657.00"
"Odisha","Ganjam","Total Food Grains","Rabi","1648.00","2195.00","1288.00"
"Odisha","Ganjam","Total Food Grains","Summer","212.00","1581.00","2108.00"
"Odisha","Ganjam","Total Food Grains","Total","1609.00","2191.00","1289.00"
"Odisha","Jagatsinghapur","Rice","Kharif","2000.00","1805.00","1878.00"
"Odisha","Jagatsinghapur","Rice","Rabi","2557.00","2998.00","1928.00"
"Odisha","Jagatsinghapur","Rice","Summer","","2786.00","2900.00"
"Odisha","Jagatsinghapur","Rice","Total","2550.00","2981.00","1938.00"
"Odisha","Jagatsinghapur","Cereals","Kharif","2000.00","1805.00","1878.00"
"Odisha","Jagatsinghapur","Cereals","Rabi","2557.00","2998.00","1928.00"
"Odisha","Jagatsinghapur","Cereals","Summer","","2786.00","2900.00"
"Odisha","Jagatsinghapur","Cereals","Total","2550.00","2981.00","1938.00"
"Odisha","Jagatsinghapur","Urad","Rabi","433.00","504.00","377.00"
"Odisha","Jagatsinghapur","Urad","Summer","435.00","404.00","402.00"
"Odisha","Jagatsinghapur","Urad","Total","434.00","434.00","395.00"
"Odisha","Jagatsinghapur","Moong","Summer","362.00","455.00","460.00"
"Odisha","Jagatsinghapur","Moong","Total","362.00","455.00","460.00"
"Odisha","Jagatsinghapur","Other Pulses","Rabi","465.00","460.00","459.00"
"Odisha","Jagatsinghapur","Other Pulses","Summer","277.00","400.00",""
"Odisha","Jagatsinghapur","Other Pulses","Total","459.00","460.00","459.00"
"Odisha","Jagatsinghapur","Total Pulses","Total","366.00","454.00","459.00"
"Odisha","Jagatsinghapur","Total Food Grains","Kharif","2000.00","1805.00","1878.00"
"Odisha","Jagatsinghapur","Total Food Grains","Rabi","2515.00","2982.00","1922.00"
"Odisha","Jagatsinghapur","Total Food Grains","Summer","363.00","462.00","524.00"
